T,D
300.0,1.1603932070171586e-19
310.0,3.2885294644473198e-19
320.0,8.732196741136477e-19
330.0,2.1854503110475674e-18
340.0,5.182293936720284e-18
350.0,1.1697031409655407e-17
360.0,2.523407575380067e-17
370.0,5.222156289314524e-17
380.0,1.0401308747369606e-16
390.0,1.9997723802737662e-16
400.0,3.721161464583571e-16
410.0,6.717697853099314e-16
420.0,1.1790877693102737e-15
430.0,2.016080262923829e-15
440.0,3.3641885942093316e-15
450.0,5.4874380106495885e-15
