T,species,D,D_err,r2,valid
500,Mg,2.790533810758524e-14,2.7215892534610118e-14,0.011805628662852145,False
600,Mg,-1.1526759133500741e-14,3.605212286370847e-14,0.0011602882114899714,False
700,Mg,-1.6917863659436802e-14,4.818785029477709e-14,0.001398702625987918,False
