T,D_Mg,R2_Mg,D_Al,R2_Al,D_interdiff
700,1.0913391294311247e-11,0.7892686985449707,3.0601167073110066e-12,0.9234058659983946,1.0479890537108833e-11
850,2.1547482808975168e-10,0.9140326607567458,1.0933581726261973e-09,0.9946566568255099,2.639339887081635e-10
900,5.577265619943223e-11,0.4482043164603874,1.8506896871850355e-09,0.9853393140353839,1.5485207630983753e-10
