T,D_bulk,D_eff,tau_diff,tau_wait,ratio
300.0,1.1603932070171586e-19,2.320786414034317e-19,17.235536953383995,3.4965034965034963e-09,4929363568.667823
310.0,3.28852946444732e-19,6.57705892889464e-19,6.081745721369494,3.4965034965034963e-09,1739379276.3116753
320.0,8.732196741136477e-19,1.7464393482272954e-18,2.290374414697056,3.4965034965034963e-09,655047082.6033581
330.0,2.1854503110475678e-18,4.3709006220951355e-18,0.9151432040755599,3.4965034965034963e-09,261730956.36561015
340.0,5.182293936720284e-18,1.0364587873440568e-17,0.38592947918846515,3.4965034965034963e-09,110375831.04790103
350.0,1.1697031409655409e-17,2.3394062819310817e-17,0.17098355385701403,3.4965034965034963e-09,48901296.40310601
360.0,2.5234075753800668e-17,5.0468151507601336e-17,0.07925790583785369,3.4965034965034963e-09,22667761.069626156
370.0,5.2221562893145235e-17,1.0444312578629047e-16,0.038298355874418426,3.4965034965034963e-09,10953329.780083671
380.0,1.0401308747369605e-16,2.080261749473921e-16,0.019228349514245326,3.4965034965034963e-09,5499307.961074163
390.0,1.9997723802737664e-16,3.999544760547533e-16,0.010001138228172762,3.4965034965034963e-09,2860325.53325741
400.0,3.721161464583571e-16,7.442322929167142e-16,0.005374665998869299,3.4965034965034963e-09,1537154.4756766194
410.0,6.717697853099314e-16,1.3435395706198629e-15,0.002977210413054331,3.4965034965034963e-09,851482.1781335387
420.0,1.1790877693102737e-15,2.3581755386205473e-15,0.001696226567738831,3.4965034965034963e-09,485120.7983733057
430.0,2.016080262923829e-15,4.032160525847658e-15,0.0009920239966535317,3.4965034965034963e-09,283718.86304291006
440.0,3.364188594209332e-15,6.728377188418664e-15,0.0005944969920659427,3.4965034965034963e-09,170026.1397308596
450.0,5.487438010649589e-15,1.0974876021299179e-14,0.00036446880969198323,3.4965034965034963e-09,104238.0795719072
