T,D_bulk,D_eff,tau_diff,tau_wait,ratio
300.0,1.1603932070171586e-19,2.320786414034317e-19,17.235536953383995,3.496503496503496e-06,4929363.568667823
310.0,3.28852946444732e-19,6.57705892889464e-19,6.081745721369494,3.496503496503496e-06,1739379.2763116753
320.0,8.732196741136477e-19,1.7464393482272954e-18,2.290374414697056,3.496503496503496e-06,655047.0826033581
330.0,2.1854503110475678e-18,4.3709006220951355e-18,0.9151432040755599,3.496503496503496e-06,261730.95636561015
340.0,5.182293936720284e-18,1.0364587873440568e-17,0.38592947918846515,3.496503496503496e-06,110375.83104790104
350.0,1.1697031409655409e-17,2.3394062819310817e-17,0.17098355385701403,3.496503496503496e-06,48901.29640310602
360.0,2.5234075753800668e-17,5.0468151507601336e-17,0.07925790583785369,3.496503496503496e-06,22667.761069626158
370.0,5.2221562893145235e-17,1.0444312578629047e-16,0.038298355874418426,3.496503496503496e-06,10953.329780083672
380.0,1.0401308747369605e-16,2.080261749473921e-16,0.019228349514245326,3.496503496503496e-06,5499.307961074163
390.0,1.9997723802737664e-16,3.999544760547533e-16,0.010001138228172762,3.496503496503496e-06,2860.32553325741
400.0,3.721161464583571e-16,7.442322929167142e-16,0.005374665998869299,3.496503496503496e-06,1537.1544756766195
410.0,6.717697853099314e-16,1.3435395706198629e-15,0.002977210413054331,3.496503496503496e-06,851.4821781335387
420.0,1.1790877693102737e-15,2.3581755386205473e-15,0.001696226567738831,3.496503496503496e-06,485.1207983733057
430.0,2.016080262923829e-15,4.032160525847658e-15,0.0009920239966535317,3.496503496503496e-06,283.7188630429101
440.0,3.364188594209332e-15,6.728377188418664e-15,0.0005944969920659427,3.496503496503496e-06,170.02613973085963
450.0,5.487438010649589e-15,1.0974876021299179e-14,0.00036446880969198323,3.496503496503496e-06,104.2380795719072
